"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","387","Verify document page is displayed correctly","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","16604","Edit Innovative Project and verify new data is visible on the page","Mobile (en)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","9813","Verify if Explain Articles page opened after clicking on All Explain button","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","537","Verify Email widget is displayed correctly on Document page","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","12969","Verify document page is displayed correctly","Mobile (uk)","2026-02-02","passed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","15142","Edit Employee and verify new data is visible on the page","Desktop (en)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","30560","Verify search by Title and Description","Mobile (uk)","2026-02-02","broken","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","0","Add new Media Links and verify they are working on the page","Desktop (en)","2026-02-02","skipped","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","395","Verify accordion widget is displayed correctly on Document page","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","19562","Verify if Child Article works correctly","Mobile (uk)","2026-02-02","failed","2026-02-02","Article tests","Parametrized/CreateAndEditArticleTest.spec.js","",""
"","7615","Verify Search bar displayed correctly","Desktop (uk)","2026-02-02","passed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","1","Verify social media links in Footer and Header","Mobile (en)","2026-02-02","failed","2026-02-02","Social media tests","Parametrized/VerifySocialMediaTest.spec.js","",""
"","0","Edit Services and verify changes are present on Services page","Mobile (uk)","2026-02-02","skipped","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","1024","Verify Card widget is displayed correctly on Document page","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","13450","Edit Losses data and verify new data is visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","6523","Verify if Explain Articles page opened after clicking on All Explain button","Desktop (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","9536","Verify if Email widget is displayed correctly on Explain Articles Page","Mobile (uk)","2026-02-02","failed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","1","Verify Search bar displayed correctly","Mobile (en)","2026-02-02","failed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","17836","Verify if search validation message displays correctly","Desktop (en)","2026-02-02","passed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","3","Verify Media Links are present and reflect updates after changes","Mobile (en)","2026-02-02","failed","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","1","Verify Media Links are present and reflect updates after changes","Desktop (uk)","2026-02-02","failed","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","8058","Verify Losses data has 5 points and More details button clickable","Desktop (uk)","2026-02-02","passed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","8353","Verify if Explain Articles with highlight true displays on Main Page","Desktop (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","10722","Verify Card widget is displayed correctly on Document page","Desktop (uk)","2026-02-02","failed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","0","Verify tags are created and assigned to News","Desktop (en)","2026-02-02","skipped","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","12461","Verify if Explain Articles page displays all articles","Mobile (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","1","Verify Losses -> More Details button configurations","Mobile (en)","2026-02-02","skipped","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","9390","Verify Losses data has 5 points and More details button clickable","Mobile (uk)","2026-02-02","passed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","12053","Verify filtering works based on tags selected","Desktop (en)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","24817","Verify filtering works based on tags selected","Mobile (uk)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","10888","Verify if Explain Articles page displays all articles","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","386","Verify Social Media widget is displayed correctly on Document page","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","1","Verify Media Links are present and reflect updates after changes","Mobile (uk)","2026-02-02","failed","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","401","Verify Email widget is displayed correctly on Document page","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","1","Verify tags are created and assigned to explain article","Desktop (en)","2026-02-02","failed","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","1","Verify tags created and assigned to document","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","8159","Verify All news page","Desktop (uk)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","0","Verify Media Links not present after deleting entry","Desktop (en)","2026-02-02","skipped","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","0","Verify if Other Articles widget is displayed correctly","Desktop (uk)","2026-02-02","skipped","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","14721","Verify Losses -> More Details button configurations","Desktop (uk)","2026-02-02","failed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","15926","Verify Phone widget is displayed correctly on Explain Article page","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","0","Edit Services and verify changes are present on Services page","Desktop (uk)","2026-02-02","skipped","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","2","Verify tags created and assigned to document","Mobile (uk)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","17940","Verify Recent news are visible on the Main page","Desktop (en)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","10807","Edit Quick Link data and verify it`s visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","1","Verify tags are created and assigned to explain article","Mobile (uk)","2026-02-02","failed","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","30702","Verify Quick Links are visible on the page","Desktop (uk)","2026-02-02","passed","2026-02-02","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
